ID,datetime,TokenizedText,sentiment,tickers,date,hour,day_of_week,month,year,normalized_text,text_length,word_count,ticker_count
14135,2020-04-09 00:00:03+00:00,"$HEXO target price is $2.21, HEXO has a upside of 327.2% from its current price of $0.52

#stocks #investment #CNBC #trading #NASDAQ #news #daytrade #pennystocks #potstocks $TSLA $TLRY $CGC $FB $SNAP $AMRX $COKE $PEP $BYND $ZM $WMT $COST $AMZN $TGODF $KGKG
https://t.co/I7lRxme2iw",1.0,"['AMZN', 'COST', 'FB', 'PEP', 'TGT', 'WMT']",2020-04-09,0,3,4,2020,"hexo target price is 2.21, hexo has a upside of 327.2 from its current price of 0.52 stocks investment cnbc trading nasdaq news daytrade pennystocks potstocks tsla tlry cgc fb snap amrx coke pep bynd zm wmt cost amzn tgodf kgkg httpst.coi7lrxme2iw",247,42,6
12476,2020-04-09 03:59:33+00:00,Wells Fargo &amp; Co Reiterates “Buy” Rating for Abbott Laboratories $ABT https://t.co/aaGdMCBO68 #stocks,1.0,"['ABT', 'WFC']",2020-04-09,3,3,4,2020,wells fargo amp co reiterates buy rating for abbott laboratories abt httpst.coaagdmcbo68 stocks,95,13,2
6998,2020-04-09 14:42:56+00:00,"RT @amir: New: Microsoft’s rival to AWS, called @Azure, is a success but has buckled under recent covid-19-related pressure &amp; also has had…",1.0,['MSFT'],2020-04-09,14,3,4,2020,"rt amir new microsofts rival to aws, called azure, is a success but has buckled under recent covid-19-related pressure amp also has had",135,23,1
1878,2020-04-09 20:17:34+00:00,Twitter to Share More Data About Users With Advertisers @themotleyfool #stocks $TWTR https://t.co/FP4E8ZZgs0,1.0,['TWTR'],2020-04-09,20,3,4,2020,twitter to share more data about users with advertisers themotleyfool stocks twtr httpst.cofp4e8zzgs0,101,13,1
11,2020-04-09 23:57:05+00:00,3 Surprisingly Controversial Stocks in Donald Trump's Portfolio @themotleyfool #stocks $GILD $MO https://t.co/d9hlJnSRN3,-1.0,"['GILD', 'MO']",2020-04-09,23,3,4,2020,3 surprisingly controversial stocks in donald trump is portfolio themotleyfool stocks gild mo httpst.cod9hljnsrn3,113,14,2
19612,2020-04-10 05:25:15+00:00,RT @Drugdoctor2014: $AYTU Bio $1.54 - it's $25  Rapid Test shows 39 of 39 positive results CONFIRMED with second test!  $SM $ECR $GPOR $CXO…,1.0,['CXO'],2020-04-10,5,4,4,2020,rt drugdoctor2014 aytu bio 1.54 - it is 25 rapid test shows 39 of 39 positive results confirmed with second test! sm ecr gpor cxo,129,25,1
16588,2020-04-10 15:56:50+00:00,"RT @gholland04: 💥💥💥 Obama administration repeatedly sought to cut PPE stockpile ...

... and with $T deficits the Dems are trying to Blame…",-1.0,['T'],2020-04-10,15,4,4,2020,rt gholland04 obama administration repeatedly sought to cut ppe stockpile ... ... and with t deficits the dems are trying to blame,130,22,1
23510,2020-04-11 15:18:52+00:00,RT @flyingstocksman: #Regeneron one of those involved in the cure for #coronavirus is in  buy on our system. See chart. Key: above the clou…,1.0,['REGN'],2020-04-11,15,5,4,2020,rt flyingstocksman regeneron one of those involved in the cure for coronavirus is in buy on our system. see chart. key above the clou,133,24,1
29853,2020-04-12 14:10:08+00:00,"We're still looking for someone else who can beat our performances!
Try free for 7 days https://t.co/7sAfbFrPQS
$NSC
Signal: ** BUY **
Since: 2020-04-06 
Our performance: % 2.94
https://t.co/5xSfm4wM83
#trading
#stocks
#stockstowatch
#stockstotrade
$SPX https://t.co/fMUSo4az9H",1.0,['NSC'],2020-04-12,14,6,4,2020,we are still looking for someone else who can beat our performances! try free for 7 days httpst.co7safbfrpqs nsc signal buy since 2020-04-06 our performance 2.94 httpst.co5xsfm4wm83 trading stocks stockstowatch stockstotrade spx httpst.cofmuso4az9h,248,33,1
29278,2020-04-12 15:43:55+00:00,"Hard to argue that #bitcoin is not correlating with stocks at the moment. #bitcoin seemed to go green last Sunday when $SPX and $DOW futures traded green and followed through with a move to $7,440, but #btc bulls lost momentum over the weekend. Again.",-1.0,['DOW'],2020-04-12,15,6,4,2020,"hard to argue that bitcoin is not correlating with stocks at the moment. bitcoin seemed to go green last sunday when spx and dow futures traded green and followed through with a move to 7,440, but btc bulls lost momentum over the weekend. again.",245,44,1
39476,2020-04-13 14:55:08+00:00,"We're still looking for someone else who can beat our performances!
Try free for 7 days https://t.co/7sAfbFrPQS
$ZTS
Signal: ** BUY **
Since: 2020-04-06 
Our performance: % 1.55
https://t.co/I9E5whEyqp
#trading
#stocks
#stockstowatch
#stockstotrade
$SPX https://t.co/H4utjJEVM0",1.0,['ZTS'],2020-04-13,14,0,4,2020,we are still looking for someone else who can beat our performances! try free for 7 days httpst.co7safbfrpqs zts signal buy since 2020-04-06 our performance 1.55 httpst.coi9e5wheyqp trading stocks stockstowatch stockstotrade spx httpst.coh4utjjevm0,248,33,1
37006,2020-04-13 17:30:05+00:00,RT @ReformedBroker: Amazon is less than 2% away from a record high. $AMZN is 10% or so of the QQQ's https://t.co/ejWq3o2AuA,1.0,['AMZN'],2020-04-13,17,0,4,2020,rt reformedbroker amazon is less than 2 away from a record high. amzn is 10 or so of the qqq is httpst.coejwq3o2aua,115,22,1
36429,2020-04-13 18:12:46+00:00,"RT @vincent13031925: Biggest mistakes of the century:

From before,

Apple $AAPL is only a PC maker

Amazon $AMZN is only a bookstore 

Goo…",-1.0,"['AAPL', 'AMZN']",2020-04-13,18,0,4,2020,"rt vincent13031925 biggest mistakes of the century from before, apple aapl is only a pc maker amazon amzn is only a bookstore goo",129,23,2
